[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
44.1,1104.805,2.1915,219.15,599.556,0
44.2,1105.715,2.197,219.7,600.051,0
44.3,1106.072,2.202,220.2,600.244,0
44.4,1105.823,2.207,220.7,600.109,0
44.5,1106.897,2.212,221.2,600.692,0
44.6,1107.001,2.217,221.7,600.748,0
44.7,1107.166,2.2215,222.15,600.838,0
44.8,1107.989,2.2265,222.65,601.285,0
44.9,1108.058,2.2315,223.15,601.322,0
45,1108.382,2.236,223.6,601.498,0
45.1,1109.359,2.2415,224.15,602.028,0
45.2,1109.604,2.246,224.6,602.161,0
45.3,1110.117,2.2515,225.15,602.439,0
45.4,1110.891,2.2565,225.65,602.86,0
45.5,1110.991,2.2615,226.15,602.914,0
45.6,1111.826,2.267,226.7,603.367,0
45.7,1111.986,2.2715,227.15,603.454,0
45.8,1112.181,2.2765,227.65,603.559,0
45.9,1113.047,2.282,228.2,604.029,0
46,1113.155,2.2865,228.65,604.088,0
46.1,1113.294,2.292,229.2,604.164,0
46.2,1114.274,2.297,229.7,604.695,0
46.3,1114.06,2.3015,230.15,604.579,0
46.4,1114.473,2.3065,230.65,604.803,0
46.5,1115.338,2.3115,231.15,605.273,0
46.6,1115.333,2.316,231.6,605.27,0
46.7,1115.824,2.321,232.1,605.536,0
46.8,1116.44,2.326,232.6,605.871,0
46.9,1116.789,2.331,233.1,606.06,0
47,1117.486,2.3365,233.65,606.438,0
47.1,1117.837,2.3415,234.15,606.629,0
47.2,1118.031,2.3465,234.65,606.734,0
47.3,1118.743,2.352,235.2,607.12,0
47.4,1118.971,2.3565,235.65,607.244,0
47.5,1119.173,2.362,236.2,607.354,0
47.6,1119.954,2.367,236.7,607.778,0
47.7,1119.873,2.3715,237.15,607.733,0
47.8,1120.257,2.377,237.7,607.942,0
47.9,1120.849,2.382,238.2,608.264,0
48,1120.558,2.3865,238.65,608.105,0
48.1,1121.268,2.3915,239.15,608.491,0
48.2,1121.647,2.3965,239.65,608.697,0
48.3,1121.688,2.401,240.1,608.718,0
48.4,1122.389,2.406,240.6,609.099,0
48.5,1122.689,2.411,241.1,609.262,0
48.6,1123.106,2.416,241.6,609.488,0
48.7,1123.825,2.421,242.1,609.878,0
48.8,1123.899,2.426,242.6,609.919,0
48.9,1124.372,2.4315,243.15,610.175,0
49,1124.989,2.4365,243.65,610.51,0
49.1,1125.064,2.441,244.1,610.551,0
49.2,1125.488,2.447,244.7,610.781,0
49.3,1125.958,2.4515,245.15,611.036,0
